00061014-n	ozta-ozta_lortze
00061171-n	azaleratze
00061290-n	igorpen, bidalketa
00061598-n	burutze, burutzapen
00061917-n	gauzatze, burutze
00062133-n	klimax, orgasmo
00062451-n	burutze, betetze
00062806-n	lorpen
00063014-n	errekor, marka
00063095-v	jaio
00063291-v	haserretu, sumindu
00063652-n	arrakasta
00063916-v	baretu, lasaitu
00064018-n	irabazte
00064095-v	arindu, baretu, gozatu, lasaitu, leundu
00064643-v	atsekabetu, min_eman, mindu
00064889-v	alditxartu, gaixotu, larri_jarri, ondoeztu
00065070-v	jasan, pairatu, sufritu
00065216-n	konkista, erdiespen
00065370-v	gaixorik_egon, ondoezik_egon, ukan, gaixo_izan, eduki, eri_izan, gaixo_egon, gaixorik_izan, ondoezik_izan, -ko_gaitza_izan, eri_egon
00065575-n	gainditze
00065855-n	ziurtagiri, egiaztagiri
00066025-v	adia_egin, adiakatu, ahuendatu, hasperen_egin, kexatu
00066191-v	malkoak_isuri, negar_egin
00066216-n	alferrik_galtze, galtze
00066636-n	porrot
00066901-n	hutsegite, ez_gainditze
00067129-v	negar-zotinka_ari_izan, zinkurinatu
00067254-n	txikarra_egite, piper_egite, sasieskola_egite
00067274-v	mainak_egin, zinkurinatu
00067397-n	ez_agertze
00067545-v	izerditu
00067707-n	kapitulazio
00067999-v	izerditu
00068333-n	berrerortze
00068755-n	desilusio, desengainu
00068901-n	hauste, ez_betetze
00069012-v	tantaka_ari_izan
00069879-v	sakitu, zauritu
00070816-v	atsekabetu, nahigabetu, samindu
00070965-n	hanka-sartze, hutsegite, huts, erru, falta, oker, akats
00071646-v	martirizatu
00072068-n	hutsegite
00072261-n	orban
00072473-n	nahaste
00072808-n	gaizki_kalkulatze, kalkulu_oker
00073032-n	hutsegite
00073343-v	bota
00073713-n	itxuraldatze, distortsio
00074346-a	natural
00074524-n	lapsus
00074594-a	natural
00074624-n	deskuidu, oharkabetasun
00074834-v	odolustu
00075021-v	nekatu
00075421-v	akitu, nekatu, unatu
00075618-n	nahaspila, korapilo
00075912-n	ilupa
00076114-v	aspertu, gogaitu
00076196-n	solezismo
00076393-n	hanka_sartze
00076400-v	bota, botaka_egin, goitika_egin, goraka_egin, okaztatu
00076563-n	irristada, larrapastada
00076884-n	erorketa
00077698-v	ito
00077950-v	ito, itoarazi
00077981-n	gaixotze
00078138-v	izoztu, jelatu
00078578-v	hirrikinatu, karranka_egin, karraskatu
00078760-v	tratamendua_eman, tratamendua_jarri, tratatu, zaindu
00079018-n	erosketa
00079212-n	berrerosketa
00080304-v	tratamendua_eman, tratamendua_jarri, tratatu
00080743-n	erosteko_aukera, erosteko_opzio
00081395-n	sustapen, pizgarri, sustagarri
00081572-n	erosketa
00081725-v	osatu, sendatu
00081836-n	erosketa
00082081-n	merkatuan_eroste, erosketa
00082308-v	baretu, lasaitu
00082525-n	onarpen, onespen
00082563-v	arindu, pisua_kendu
00082754-n	oinordekotza
00082766-a	borrokalari
00082870-n	eskuratze, hartze, bereganatze
00083124-v	bendatu, lotu
00083523-v	finkatu, segurtatu, tinkatu
00083585-n	ondare
00083729-n	hartze, eskuratze
00083975-n	jabetze, jabekuntza
00084371-n	bereganatze
00085219-n	hartze, bahitze
00085432-n	euste, heltze
00085626-v	gantzutu, igurtzi, oliatu
00085678-n	konfiskatze, legez_kentze
00085829-n	bahitura
00085907-v	ukendua_eman
00086077-v	odoletan_izan
00086140-n	jabetza_kentze, desjabetze
00086320-v	injektatu, xiringatu
00086654-n	errekisa, behartze
00086809-n	okupazio
00087218-n	bahitura
00087423-n	diru-laguntza
00087454-v	nazkatu
00087663-n	emakida
00088209-v	eritu, gaixotu
00088339-v	edendu, pozoitu
00088481-n	konfiskazio
00088713-v	kutsatu
00088725-n	harrapaketa, atxiloketa
00089027-n	konkista
00089351-n	itzulketa, itzulpen, itzultze
00089750-v	kutsatu
00090253-n	jasotze, hartze
00090393-n	izendapen
00090779-n	emate, emanaldi
00091013-n	baztertze, uzte
00091124-v	dislokatu, lokatu
00091234-n	erreus, baztertze
00092293-v	hondatu, narriatu
00092366-n	enkante, erremate
00093006-n	kapitalizazio
00093483-n	salbamen, salbamendu, erreskate
00093593-v	ahitu, ahuldu, ilaundu, indargabetu, makaldu
00093775-v	usteldu
00093874-n	salbamendu, salbamen
00093979-v	atrofiatu, gaitasuna_galdu
00094001-n	erospen, erredentzio, berrerospen, eroskunde
00094240-n	barkamen, absoluzio
00094788-n	fede-aldaketa
00094954-n	ebanjelizazio, ebanjelismo
00095121-n	barkamen
00095329-n	kalte-ordain, kalte-ordainketa
00095377-v	ernamuindu, erne, hozitu, muskildu
00095502-n	askatze, askapen
00095971-n	berriztatze, oneratze
00096211-n	salbatze, erreskatatze
00096766-v	zornatu
00096851-n	erreskate
00096969-n	berreskuratze
00097122-n	berreskuratze
00097244-n	erregutze
00097504-n	egite
00098385-n	mekanismo
00098625-n	zerbitzu
00098939-n	autozerbitzu
00099184-v	osatu, sendatu
00099588-n	inprobisazio, bat-batekotasun
00099799-n	malabarismo
00099951-n	ilusio, magia, sorginkeria
00100044-v	entrenatu, trebatu
00100253-n	kantaldi
00100543-n	interpretazio, antzezpen
00101191-n	jotze
00101277-v	luzatu
00101956-v	listua_bota, tu_egin, txistua_bota
00102457-n	automatizazio, mekanizazio
00102791-v	listua_jariatu
00102927-n	motorizazio
00102974-v	adurra_jariatu, lerdea_jariatu
00103140-n	jaurtiketa
00103291-n	uretaratze
00103317-v	gorritu, lotsatu
00103619-v	beluritu, histu, zurbildu, zuritu
00103834-n	bultzada
00103875-v	beltzarandu, belztu
00104299-v	beltzarandu, belztu
00104409-n	biratze, errodatze
00104539-n	jaurtiketa, botatze
00104976-n	bolaketa
00105271-n	bulkada, bultzada
00105820-n	pase
00106272-n	jaurtikitze
00107137-n	sake
00108081-n	duster
00108818-n	screwball
00108965-n	sinker
00109081-n	irristatzaile
00109414-n	strike
00109660-v	aldatu, antzaldatu, bestelakotu, bihurtu, eraldatu, mudatu, trukatu
00110701-a	digital
00111358-n	gako
00111503-n	jauzilari
00112312-n	bultzada
00112674-n	depresio, beheraldi
00112828-n	klik
00112997-n	ukondokada
00113113-n	presio, sakadura
00113726-n	bultzada
00114095-n	bultzaka_ibiltze, bultzatze
00114291-v	karamelatu
00114298-n	ukondokada
00114431-n	erakarpen, tiratze
00114615-v	karamelatu
00114871-n	arrastaka_ibiltze
00115036-n	garraio, garraiaketa, ekarri
00115292-n	atoian_eramate, atoi
00115500-n	astinaldi, tiraldi
00115667-n	tiraldi, erakartze
00116008-n	tiraldi
00116376-n	jasoaldi, igotze, gorapen
00116687-n	egozte, kanporatze
00117578-n	haize, korroka, korrokada
00117959-n	betikara, kliska
00117985-v	eutsi, gelditu, geratu, jarraitu, segitu
00118552-n	espektorazio, tu_egite
00118733-n	gorako, okada
00119074-v	bereizi, desberdindu
00119568-n	jauzi, salto
